register_id,name,created,addresses_road_id,addresses_road_name,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
﻿99400575441,Jardins de Josep Trueta,2018-01-24T16:32:18+01:00,186703,C Llull,68,El Poblenou,10,Sant Martí,8005,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,433601.4640036655,4583887.824896852,41.40379216389054,2.2056310183411125
﻿99400575472,Jardins Can Xiringoi,2018-01-25T09:48:26+01:00,8603,C Costa I Cuxart,44,Vilapicina I La Torre Llobeta,8,Nou Barris,8016,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,431126.4275009533,4586567.144282181,41.42771563875548,2.175718380948309
﻿92086020872,Parc de la Creueta del Coll,1987-05-05T00:00:00+02:00,230000,Pg Mare De Déu Del Coll,29,El Coll,6,Gràcia,8023,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,428655.06968450494,4585652.736681833,41.419264262411424,2.1462520569914068
﻿92086011938,Jardins del Turó del Putxet,1985-04-01T00:00:00+02:00,191408,C Manacor,27,El Putxet I El Farró,5,Sarrià-Sant Gervasi,8023,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,428330.3421091046,4584377.223048406,41.40774734930597,2.1425177258809422
﻿92086011940,Parc de Monterols,1985-04-01T00:00:00+02:00,223606,Carrer De Muntaner,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,428094.2115477828,4583698.474617503,41.401613054797835,2.1397735122452017
﻿92086012496,Jardins Valent Petit,1985-05-24T00:00:00+02:00,160903,Pl Ildefons Cerdà,13,La Marina De Port,3,Sants-Montjuïc,8014,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,427764.8476215436,4579628.707264949,41.36492871730164,2.136318854001666
﻿99146140904,Jardins Jaume Planas i Alemany,1999-05-26T00:00:00+02:00,185700,Llobregós,37,El Carmel,7,Horta-Guinardó,8032,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,429248.41484586487,4586020.927217786,41.42263286964232,2.153308491000778
﻿99400054557,Parc dels Auditoris,2003-07-22T17:39:00+02:00,701612,Pl Fòrum,70,El Besòs I El Maresme,10,Sant Martí,8019,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,435261.96175924875,4584471.267529068,41.40918252937949,2.2254324620547092
﻿98294121049,Parc del Pla de Fornells,1998-10-21T00:00:00+02:00,267816,C Nou Barris,50,Les Roquetes,8,Nou Barris,8042,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,431388.5964935264,4588837.328221029,41.44818476886138,2.1785979471098837
﻿99400063150,Jardins Interior d'Illa de Flora Tristan,2003-10-15T13:34:00+02:00,238400,Carrer De Padilla,6,La Sagrada Família,2,Eixample,8013,Barcelona,55737069,Interiors d'illa,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Interiors d'illa,651,65103002006001,431442.5599668346,4583941.892938824,41.40409793289094,2.1797990174583877
﻿99400689064,Jardins de l'Alzina,2022-03-31T10:10:23.013099+02:00,109203,Carrer De L'Encarnació,31,La Vila De Gràcia,6,Gràcia,8012,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,429674.209,4584122.423,41.40557115587016,2.1586241741465275
﻿99112132816,Jardins d'Antoni Puigvert,1999-04-22T00:00:00+02:00,325005,C Sicília,32,El Camp D'En Grassot I Gràcia Nova,6,Gràcia,8025,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,430551.61260524986,4584024.839948126,41.40476853682401,2.1691315376296347
﻿99329085040,Jardins del Teatre Grec,1999-11-25T00:00:00+01:00,316809,Pg Santa Madrona,11,El Poble-Sec,3,Sants-Montjuïc,8038,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,429635.76530454465,4580189.30318572,41.37014353208927,2.158621128519657
﻿99335103526,Jardins Creu de Pedralbes,1999-12-01T00:00:00+01:00,248108,Av Pearson,21,Pedralbes,4,Les Corts,8034,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,425728.94770070154,4582913.911759086,41.39433185278547,2.1115767347502405
﻿97197122612,Jardins de la Mediterrània,1997-07-16T00:00:00+02:00,137300,Foneria,13,La Marina De Port,3,Sants-Montjuïc,8038,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,428035.411101656,4579105.010437137,41.360236193911376,2.139615634878941
﻿99400072463,Jardins de Josep Munté,2004-01-27T14:41:21+01:00,65200,C Cardenal Reig,20,La Maternitat I Sant Ramon,4,Les Corts,8028,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,426179.7467016402,4581174.123834649,41.37870385314168,2.117180526318858
﻿97279132537,Jardins Josep Amat,1997-10-06T00:00:00+02:00,143904,Rda General Mitre,27,El Putxet I El Farró,5,Sarrià-Sant Gervasi,8023,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,428402.3594616446,4584132.368451344,41.40554846163865,2.14340824232278
﻿98336165607,Jardins Teixonera,1998-12-02T00:00:00+01:00,22400,Arenys,38,La Teixonera,7,Horta-Guinardó,8035,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,428253.4425140615,4585981.9403882185,41.42219349572098,2.1414074544650044
﻿99335120952,Jardins de la Reina Victòria Eugènia,1999-12-01T00:00:00+01:00,169409,G.V. Corts Catalanes,7,La Dreta De L'Eixample,2,Eixample,8007,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,430438.4560688074,4582262.569115563,41.38888657157082,2.1679803401568054
﻿99085102712,Parc de Diagonal Mar,1999-03-26T00:00:00+01:00,186703,Carrer De Llull,69,Diagonal Mar I El Front Marítim Del Poblenou,10,Sant Martí,8019,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,434157.96080684,4584404.36848959,41.40849031137141,2.212231951523546
﻿97248095629,Jardins de Joan Vinyoli,1997-09-05T00:00:00+02:00,305201,Pg Sant Joan Bosco,23,Sarrià,5,Sarrià-Sant Gervasi,8017,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,427158.4558331705,4582802.178160091,41.39345626377472,2.128687898396678
﻿99188085228,Jardins de la Font dels Ocellets,1999-07-07T00:00:00+02:00,29104,Jiménez I Iglesias,21,Pedralbes,4,Les Corts,8034,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,426640.7579674433,4582328.8606660655,41.38914624270509,2.1225533493940674
﻿99400646020,Espai Lúdic-Esportiu de la Campa,2020-01-10T12:42:14+01:00,700825,C Granja Vella,41,La Vall D'Hebron,7,Horta-Guinardó,8035,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,428773.69936044945,4586466.65177436,41.42660537548248,2.147575619309494
﻿98224202041,Jardins Doctors Dolsa,1998-08-12T00:00:00+02:00,125006,Fígols,19,Les Corts,4,Les Corts,8028,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,427184.6858823416,4581397.101876284,41.380803694745275,2.129170503906372
﻿99400609279,Jardins Sotstinent Navarro,2018-09-25T14:41:48+02:00,328706,C Sots-Tinent Navarro,2,El Barri Gòtic,1,Ciutat Vella,8002,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,431392.4119315087,4581599.957776578,41.38300055778058,2.179464430011531
﻿99400660532,Parc de Trinitat Nova,2020-12-02T10:20:59+01:00,330005,C Tamariu,53,La Trinitat Nova,8,Nou Barris,8033,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,431940.71310666634,4588991.121834904,41.449616932711336,2.1851898009580086
﻿99308125546,Jardins del Port Romà,1999-11-04T00:00:00+01:00,135203,Foc,13,La Marina De Port,3,Sants-Montjuïc,8038,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,428468.8599053037,4579007.351483006,41.35939523618376,2.144808762527653
﻿99400211343,Parc dels Esculls,2008-07-30T00:00:00+02:00,701612,Pl Fòrum,70,El Besòs I El Maresme,10,Sant Martí,8019,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,435435.49908218445,4584426.407999663,41.40879244777238,2.227513379115536
﻿99400646094,Pati Interior d'Illa d'Agustí Centelles,2020-01-13T00:00:00+01:00,305100,Passeig De Sant Joan,7,La Dreta De L'Eixample,2,Eixample,8037,Barcelona,55737069,Interiors d'illa,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Interiors d'illa,651,65103002006001,430571.72852181905,4583481.9682469,41.39988081391009,2.1694344399364667
﻿99400604895,Jardins Maria Capdevila,2018-07-30T13:33:51+02:00,150604,C Grífols,43,Horta,7,Horta-Guinardó,8032,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,429776.8986037612,4586554.073132161,41.42748106849125,2.159570336326216
﻿157123029,Parc de la Maquinista per les treballadores i els treballadors de la Maquinista,2000-06-05T00:00:00+02:00,701292,Passeig De L'Havana,59,El Bon Pastor,9,Sant Andreu,8030,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,432838.43,4587508.957,41.436343203004554,2.196101084364239
﻿99400199863,Jardins de Teresa de Calcuta,2008-02-08T10:56:24+01:00,17579,Camí Antic De València,68,El Poblenou,10,Sant Martí,8005,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,433272.26114536665,4584173.226048747,41.40633543755732,2.201661451325657
